Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,CylindersinEngine,DriveType,FuelType,FuelConsumption,Kilometres,Location,States,BodyType,Price
Mitsubishi,2019,ASX,SUV,2019 Mitsubishi ASX ES (2WD),USED,Automatic,2,4,Front,Unleaded,7.6,93786,"KINGSLEY, WA", WA,SUV,22488
Toyota,2003,Landcruiser,SUV,2003 Toyota Landcruiser Prado GX (4X4),USED,Manual,4,6,4WD,Unleaded,13.8,335974,"Osborne Park, WA", WA,SUV,14990
Holden,2018,Astra,Sedan,2018 Holden Astra LT,USED,Automatic,1.4,4,Front,Unleaded,6.1,33999,"KINGSLEY, WA", WA,Sedan,19988
Audi,2019,Q2,SUV,2019 Audi Q2 40 Tfsi Quattro (2.0 Tfsi),USED,Automatic,2,4,AWD,Premium,6.5,35342,"Bentley, WA", WA,SUV,42369
Land Rover,2015,Discovery,SUV,2015 Land Rover Discovery Sport SD4 HSE,USED,Automatic,2.2,4,AWD,Diesel,6.1,135174,"Bentley, WA", WA,SUV,34999
Mazda,2021,BT-50,Ute / Tray,2021 Mazda BT-50 GT Thunder (4X4),USED,Automatic,3,4,4WD,Diesel,8,38592,"KINGSLEY, WA", WA,UTE,59488
Jaguar,2017,XE,Sedan,2017 Jaguar XE 20T R-Sport,USED,Automatic,2,4,Rear,Premium,6.3,125043,"Maddington, WA", WA,Sedan,28888
BMW,2011,X3,SUV,2011 BMW X3 Xdrive 30D,USED,Automatic,3,6,4WD,Diesel,6,119565,"Wangara, WA", WA,SUV,19888
Smart,2007,Fortwo,Coupe,2007 Smart Fortwo Coupe,USED,Automatic,0.7,3,Front,Premium,5.9,88178,"Victoria Park, WA", WA,Coupe,5985
MG,2021,ZS,SUV,2021 MG ZS EV Essence,USED,Automatic,,0 L,Front,Electric,0,32953,"Wangara, WA", WA,SUV,39888
Ford,2018,Ranger,Ute / Tray,2018 Ford Ranger XLS 3.2 (4X4) (5 YR),USED,Automatic,3.2,5,4WD,Diesel,8.7,138989,"Rockingham, WA", WA,UTE,37990
Mitsubishi,2017,Outlander,SUV,2017 Mitsubishi Outlander LS (4X4),USED,Automatic,2.4,4,AWD,Unleaded,7.5,89691,"Wangara, WA", WA,SUV,27990
Mitsubishi,2021,ASX,SUV,2021 Mitsubishi ASX ES (2WD),USED,Automatic,2,4,Front,Unleaded,7.6,50184,"Bassendean, WA", WA,SUV,25290
Ford,2018,Ranger,Ute / Tray,2018 Ford Ranger XLT 3.2 (4X4),USED,Automatic,3.2,5,4WD,Diesel,8.7,140644,"Wangara, WA", WA,UTE,51990
Volkswagen,2017,Amarok,Ute / Tray,2017 Volkswagen Amarok V6 TDI 550 Highline,USED,Automatic,3,6,4WD,Diesel,7.8,117156,"Welshpool, WA", WA,UTE,46999
Volkswagen,2022,T-Cross,SUV,2022 Volkswagen T-Cross 85TSI Style,USED,Automatic,1,3,Front,Premium,5.4,14795,"Wangara, WA", WA,SUV,34990
Toyota,2015,Landcruiser,SUV,2015 Toyota Landcruiser Prado Altitude (4X4),USED,Automatic,3,4,4WD,Diesel,8.5,183536,"Bunbury, WA", WA,SUV,48990
Holden,2016,Colorado,Ute / Tray,2016 Holden Colorado LS (4X4),USED,Manual,2.8,4,4WD,Diesel,7.9,125168,"Rockingham, WA", WA,UTE,29490
Holden,2009,Epica,Sedan,2009 Holden Epica CDX,USED,Automatic,2.5,6,Front,Unleaded,9.3,202000,"Craigie, WA", WA,Sedan,4999
Mazda,2004,Tribute,SUV,2004 Mazda Tribute Limited Sport,USED,Automatic,3,6,4WD,Unleaded,13,235117,"Wangara, WA", WA,SUV,4990
Mitsubishi,2012,Challenger,3MT True Value Auto,2012 Mitsubishi Challenger 2012 MITSUBISHI CHALLENGER LS PB AUTO 4X4 MY12,USED,Automatic,,,Other,-,,145727,"Victoria Park, WA", WA,Wagon,18980
Toyota,2011,Hilux,Ute / Tray,2011 Toyota Hilux SR5 (4X4),USED,Automatic,4,6,4WD,Unleaded,13,198324,"Wangara, WA", WA,UTE,24990
Mitsubishi,2019,Eclipse,SUV,2019 Mitsubishi Eclipse Cross ES (2WD),USED,Automatic,1.5,4,Front,Unleaded,7.3,46097,"Cannington, WA", WA,SUV,29995
Land Rover,2017,HSE,SUV,2017 Land Rover Range Rover Sport SDV6 HSE Dynamic,USED,Automatic,3,6,AWD,Diesel,7,61204,"Osborne Park, WA", WA,SUV,98888
Holden,2016,Malibu,Sedan,2016 Holden Malibu CD,USED,Automatic,2.4,4,Front,Unleaded,8,123333,"Wangara, WA", WA,Sedan,12990
