Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,CylindersinEngine,DriveType,FuelType,FuelConsumption,Kilometres,Location,States,BodyType,Price
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,2.2,4,AWD,Diesel,8.7,5595,"Caringbah, NSW",NSW,SUV,51990
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,1.5,4,Front,Premium,6.7,16,"Brookvale, NSW",NSW,Hatchback,19990
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,2,4,Rear,Premium,6.6,8472,"Sylvania, NSW",NSW,Coupe,108988
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,5.5,8,Rear,Premium,11,136517,"Mount Druitt, NSW",NSW,Coupe,32990
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,1.3,4,Front,Unleaded,6,1035,"Castle Hill, NSW",NSW,SUV,34990
Toyota,2004,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,,,Other,Unleaded,,160230,"Saint Marys, NSW",NSW,Van,9990
Land Rover,2017,Evoque,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,2,4,AWD,Diesel,5.1,67662,"Blacktown, NSW",NSW,SUV,62280
Nissan,2000,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,1.6,4,Front,Unleaded,8,300539,"Wentworthville, NSW",NSW,Hatchback,2995
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,2,4,Rear,Premium,7.1,82012,"Mcgraths Hill, NSW",NSW,Coupe,24888
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,1.3,4,Front,Hybrid,4.5,38229,"Lidcombe, NSW",NSW,Hatchback,17900
Toyota,2009,Hiace,Carbarn,2009 Toyota Hiace (No Badge),USED,Automatic,,,Other,Unleaded,,148190,"Lidcombe, NSW",NSW,Van,42500
Toyota,2018,Hiace,Commercial,2018 Toyota Hiace LWB,USED,Automatic,2.7,4,Rear,Unleaded,9.8,16324,"Lidcombe, NSW",NSW,Van,41999
Honda,2015,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,,,Other,Unleaded,,181745,"Rouse Hill, NSW",NSW,Sedan,11999
Toyota,2017,Hiace,USED Dealer ad,2017 Toyota Hiace,USED,Automatic,,,Other,-,,136296,"Lidcombe, NSW",NSW,Van,38999
Toyota,2016,Hiace,Commercial,2016 Toyota Hiace LWB,USED,Automatic,3,4,Rear,Diesel,8,229829,"Lidcombe, NSW",NSW,Van,27995
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,1.4,4,Front,Premium,6.2,55676,"Five Dock, NSW",NSW,Hatchback,14999
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,2,4,4WD,Diesel,5.6,82624,"Haberfield, NSW",NSW,SUV,24985
Mitsubishi,2013,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,,,Other,-,,120020,"Blacktown, NSW",NSW,Wagon,13999
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,2,4,Rear,Diesel,5.4,95204,"Five Dock, NSW",NSW,Hatchback,13999
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,1,3,Front,Unleaded,5.4,76289,"Cabramatta, NSW",NSW,Hatchback,12400
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,2.4,4,AWD,Unleaded,7.5,219681,"Blacktown, NSW",NSW,SUV,13999
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,1.6,4,Front,Unleaded,6.1,98079,"Blacktown, NSW",NSW,Hatchback,11999
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,3,6,AWD,Diesel,8.4,15,"Blacktown, NSW",NSW,UTE,83887
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,1.5,4,Front,Unleaded,5.8,43274,"Castle Hill, NSW",NSW,Hatchback,19900
Subaru,2012,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,2.5,4,AWD,Premium,8.4,105672,"Glebe, NSW",NSW,SUV,17990
Mitsubishi,2018,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,1.2,3,Front,Unleaded,4.7,36836,"Camden, NSW",NSW,Hatchback,14995
Toyota,2005,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,2.4,4,Front,Unleaded,9.8,115821,"Lansvale, NSW",NSW,Sedan,8499
BMW,2013,3 Series,USED Dealer ad,2013 BMW 3 Series 28i,USED,Automatic,,,Other,Unleaded,,143119,"Rouse Hill, NSW",NSW,Sedan,21999
Hyundai,2011,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,2.4,4,Front,Unleaded,7.9,189711,"Croydon, NSW",NSW,Sedan,12990
Ford,2015,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,2.7,6,Rear,Diesel,8.2,173786,"Blacktown, NSW",NSW,SUV,16999
Nissan,2018,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,2,4,Front,Unleaded,6.9,114301,"Pendle Hill, NSW",NSW,SUV,21950
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,2,4,Front,Premium,6.6,69197,"Blacktown, NSW",NSW,Hatchback,24880
Volkswagen,2023,T-Cross,NEW In stock,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW,Automatic,,,Front,Premium,,15,"Blacktown, NSW",NSW,Wagon,35887
Hyundai,2015,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,2,4,Front,Unleaded,7.9,94377,"Mcgraths Hill, NSW",NSW,SUV,23888
Ford,2016,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,1.5,4,Front,Unleaded,6.2,94965,"Blacktown, NSW",NSW,Hatchback,16999
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,2.5,4,Front,Unleaded,8.1,99294,"Blacktown, NSW",NSW,SUV,24490
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,1.8,4,Front,Hybrid,4.2,13694,"Blacktown, NSW",NSW,Hatchback,44878
Toyota,2007,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,1.5,4,Front,Unleaded,6.7,264691,"Lansvale, NSW",NSW,Sedan,7949
Jeep,2012,Grand,Mr Car,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,,,Other,Unleaded,,224839,"Rouse Hill, NSW",NSW,Wagon,13999
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,1.8,4,Front,Unleaded,7.7,238270,"Smithfield, NSW",NSW,Hatchback,8800
Toyota,2009,Hiace,Nippon Motors,2009 Toyota Hiace (No Badge),USED,Automatic,,,Rear,Unleaded,,76259,"Ingleburn, NSW",NSW,Van,32900
Jeep,2015,Patriot,SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,2.4,4,4WD,Unleaded,9.1,140964,"Seven Hills, NSW",NSW,SUV,13990
Toyota,2003,Hiace,Commercial,2003 Toyota Hiace,USED,Automatic,2.4,4,Rear,Unleaded,0,266848,"Five Dock, NSW",NSW,Van,9999
Volvo,2013,S60,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,1.6,4,Front,Premium,7.4,141000,"Blacktown, NSW",NSW,Sedan,14999
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,2.4,4,4WD,Diesel,7.6,240402,"Haberfield, NSW",NSW,UTE,22750
Mercedes-Benz,2010,E250,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,1.8,4,Rear,Premium,7.9,101126,"Glebe, NSW",NSW,Coupe,21950
Mercedes-Benz,2013,A250,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,2,4,Front,Premium,6.6,117254,"Five Dock, NSW",NSW,Hatchback,19999
Toyota,2012,86,Coupe,2012 Toyota 86 GT,USED,Manual,2,4,Rear,Premium,7.8,178747,"Granville, NSW",NSW,Coupe,19900
Mazda,2022,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,2.5,4,AWD,Unleaded,7.5,10579,"Five Dock, NSW",NSW,SUV,37990
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,1.8,4,Front,Unleaded,7.7,167101,"Minchinbury, NSW",NSW,Hatchback,12990
Ford,2013,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,4,6,Rear,Unleaded,9.9,163161,"Blacktown, NSW",NSW,Sedan,16999
Abarth,2021,595,Hatchback,2021 Abarth 595 Competizione,USED,Manual,1.4,4,Front,Premium,6,13200,"Ryde, NSW",NSW,Hatchback,36990
Honda,2014,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,2.4,4,4WD,Unleaded,8.7,103211,"Blacktown, NSW",NSW,SUV,23880
Toyota,2007,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,1.8,4,Front,Unleaded,7.4,177751,"Minchinbury, NSW",NSW,Sedan,10990
Toyota,2016,Hiace,People Mover,2016 Toyota Hiace Commuter,USED,Automatic,2.7,4,Rear,Unleaded,10.9,119614,"Ingleburn, NSW",NSW,Van,44900
Hyundai,2012,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,1.8,4,Front,Unleaded,6.9,125546,"Blacktown, NSW",NSW,Hatchback,15880
Mazda,2013,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,2.5,4,Front,Unleaded,6.6,163000,"Minchinbury, NSW",NSW,Sedan,16995
Toyota,2008,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,3.5,6,Front,Unleaded,11,132864,"Blacktown, NSW",NSW,SUV,19880
Hyundai,2018,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,2.2,4,AWD,Diesel,7.8,71655,"Homebush, NSW",NSW,SUV,43999
BMW,2012,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,2,4,4WD,Diesel,5.6,109459,"Blacktown, NSW",NSW,SUV,18888
Holden,2016,Cascada,Convertible,2016 Holden Cascada,USED,Automatic,1.6,4,Front,Premium,7.5,65361,"Minchinbury, NSW",NSW,Convertible,24995
Mercedes-Benz,2006,ML320,SUV,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,3,6,4WD,Diesel,9.6,212953,"Five Dock, NSW",NSW,SUV,9998
Mitsubishi,2009,Lancer,Sedan,2009 Mitsubishi Lancer ES,USED,Automatic,2,4,Front,Unleaded,8.2,163012,"Minchinbury, NSW",NSW,Sedan,9990
Audi,2014,A5,Coupe,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,2,4,AWD,Premium,6.7,82119,"Blacktown, NSW",NSW,Coupe,27380
Kia,2018,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,1,3,Front,Unleaded,5.4,42071,"Homebush, NSW",NSW,Hatchback,24999
Jeep,2015,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,3.2,6,4WD,Unleaded,10,85958,"Elderslie, NSW",NSW,SUV,17999
Volkswagen,2011,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,2,4,AWD,Premium,8.8,118642,"Lidcombe, NSW",NSW,SUV,12990
Mitsubishi,2012,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,2,4,Front,Unleaded,7.9,187265,"Campbelltown, NSW",NSW,SUV,13990
BMW,2016,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,2,4,Rear,Premium,6.4,118120,"Caringbah, NSW",NSW,Convertible,28990
Hyundai,2022,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,2,4,Front,Unleaded,8.1,19978,"Smithfield, NSW",NSW,SUV,36800
Mazda,2011,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,2,4,Front,Unleaded,8.2,86804,"Lansvale, NSW",NSW,Sedan,13999
Volkswagen,2023,Tiguan,Alto Volkswagen New Cars,2023 Volkswagen Tiguan Allspace 132TSI Life,NEW,Automatic,2,4,AWD,Premium,8.9,15,"Blacktown, NSW",NSW,SUV,56887
Hyundai,2014,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,2.5,4,Rear,Diesel,9,183550,"Bankstown, NSW",NSW,Wagon,19888
Toyota,2014,Yaris,Hatchback,2014 Toyota Yaris YR,USED,Automatic,1.3,4,Front,Unleaded,6.3,191748,"Bankstown, NSW",NSW,Hatchback,8995
Toyota,2016,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,3.5,6,Front,Unleaded,10.4,139637,"Five Dock, NSW",NSW,SUV,31900
Mitsubishi,2013,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,2,4,Front,Unleaded,7.2,165306,"Minchinbury, NSW",NSW,Sedan,14995
Subaru,2016,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,2,4,AWD,Unleaded,7.1,104887,"North Narrabeen, NSW",NSW,SUV,22990
Mini,2017,Cooper,Hatchback,2017 Mini Cooper S 5D Hatch,USED,Automatic,2,4,Front,Premium,5.5,72501,"Blacktown, NSW",NSW,Hatchback,31990
Peugeot,2015,308,Mr Car,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,,,Other,Unleaded,,167127,"Rouse Hill, NSW",NSW,Hatchback,12999
Holden,2010,Commodore,Ute / Tray,2010 Holden Commodore SS-V,USED,Manual,6,8,Rear,Unleaded,14.5,169220,"Blacktown, NSW",NSW,UTE,25999
Hyundai,2015,I20,Hatchback,2015 Hyundai I20 Active,USED,Automatic,1.4,4,Front,Unleaded,5.9,111783,"Croydon, NSW",NSW,Hatchback,13990
Mazda,2018,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X2),USED,Automatic,3.2,5,Rear,Diesel,9.3,97460,"Haberfield, NSW",NSW,UTE,30990
Mazda,2009,3,Sedan,2009 Mazda 3 Maxx,USED,Automatic,2,4,Front,Unleaded,8.2,178389,"Chester Hill, NSW",NSW,Sedan,8499
Hyundai,2011,I20,Hatchback,2011 Hyundai I20 Active,USED,Automatic,1.4,4,Front,Unleaded,6.4,188262,"Minchinbury, NSW",NSW,Hatchback,10995
Honda,2015,Vezel,Top Auto Group,2015 Honda Vezel Hybrid Z,USED,Automatic,,,Other,Unleaded,,71059,"Blacktown, NSW",NSW,Wagon,24888
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,2.3,4,AWD,Unleaded,11.5,152831,"Liverpool, NSW",NSW,SUV,11669
Jeep,2017,Renegade,SUV,2017 Jeep Renegade Limited,USED,Automatic,1.4,4,Front,Premium,5.9,69218,"Glebe, NSW",NSW,SUV,24950
Mazda,2013,6,Sedan,2013 Mazda 6 Sport,USED,Automatic,2.5,4,Front,Unleaded,6.6,124093,"West Ryde, NSW",NSW,Sedan,16990
Nissan,2009,Elgrand,Sydney City Traders,2009 Nissan Elgrand Highway Star,USED,Automatic,,,Rear,Unleaded,,103090,"Five Dock, NSW",NSW,Wagon,19995
Kia,2013,Grand,Wagon,2013 Kia Grand Carnival SLI,USED,Automatic,3.5,6,Front,Unleaded,10.9,98672,"Minchinbury, NSW",NSW,Wagon,13995
Mitsubishi,2015,Lancer,Sedan,2015 Mitsubishi Lancer ES Sport,USED,Automatic,2,4,Front,Unleaded,7.2,61481,"Minchinbury, NSW",NSW,Sedan,17995
Subaru,2018,Impreza,Hatchback,2018 Subaru Impreza 2.0I (awd),USED,Automatic,2,4,AWD,Unleaded,6.6,61177,"Seven Hills, NSW",NSW,Hatchback,22990
Mazda,2014,3,Hatchback,2014 Mazda 3 NEO,USED,Automatic,2,4,Front,Unleaded,8.2,132648,"Granville, NSW",NSW,Hatchback,16999
BMW,2021,X4,SUV,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,2,4,AWD,Unleaded,7.3,31367,"Sylvania, NSW",NSW,SUV,79988
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,2.3,4,AWD,Unleaded,11.5,174818,"Kirrawee, NSW",NSW,SUV,12800
Audi,2015,A5,Coupe,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,2,4,AWD,Premium,6.7,115334,"Blacktown, NSW",NSW,Coupe,26880
BMW,2014,118I,Hatchback,2014 BMW 118I,USED,Automatic,1.6,4,Rear,Premium,5.8,57000,"Cabramatta, NSW",NSW,Hatchback,16990
Mercedes-Benz,2012,C-CLASS,USED Dealer ad,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,,,Other,Unleaded,,162775,"Rouse Hill, NSW",NSW,Sedan,16999
Toyota,2013,Hiace,Nippon Motors,2013 Toyota Hiace DX,USED,Automatic,,,Other,Diesel,,191173,"Ingleburn, NSW",NSW,Van,30900
Subaru,2007,Impreza,USED Dealer ad,2007 Subaru Impreza WRX STI,USED,Manual,,,Other,Unleaded,,146077,"Smeaton Grange, NSW",NSW,Sedan,34888
Audi,2014,Q7,SUV,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,4.1,8,AWD,Diesel,9.2,199941,"Five Dock, NSW",NSW,SUV,28999
Suzuki,2015,Celerio,Hatchback,2015 Suzuki Celerio,USED,Automatic,1,3,Front,Unleaded,4.8,23316,"Blacktown, NSW",NSW,Hatchback,13880
Subaru,2016,Liberty,Sedan,2016 Subaru Liberty 3.6R,USED,Automatic,3.6,6,AWD,Premium,9.9,226127,"Minto, NSW",NSW,Sedan,17950
Toyota,2019,C-HR,SUV,2019 Toyota C-HR (2WD),USED,Manual,1.2,4,Front,Premium,5.4,58185,"Blacktown, NSW",NSW,SUV,33888
Subaru,2021,Forester,SUV,2021 Subaru Forester 2.5I (awd),USED,Automatic,2.5,4,AWD,Unleaded,7.4,16136,"Windsor, NSW",NSW,SUV,39990
Mazda,2015,CX-3,SUV,2015 Mazda CX-3 S Touring (awd),USED,Automatic,2,4,AWD,Unleaded,6.7,31531,"Penrith, NSW",NSW,SUV,23950
Jeep,2018,Grand,SUV,2018 Jeep Grand Cherokee Limited (4X4),USED,Automatic,3,6,4WD,Diesel,7.5,76472,"Glebe, NSW",NSW,SUV,41950
Hyundai,2018,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,2,4,Front,Unleaded,7.4,62719,"Homebush, NSW",NSW,Hatchback,21999
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST (2WD),USED,Automatic,2.5,4,Front,Unleaded,7.9,52035,"Windsor, NSW",NSW,SUV,27990
Honda,2010,City,Sedan,2010 Honda City VTI,USED,Automatic,1.5,4,Front,Unleaded,6.6,146445,"Kogarah, NSW",NSW,Sedan,8950
Honda,2020,CR-V,SUV,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,1.5,4,Front,Unleaded,7.3,35214,"Blacktown, NSW",NSW,SUV,37880
Holden,2014,Cruze,Hatchback,2014 Holden Cruze SRI,USED,Manual,1.6,4,Front,Unleaded,7.4,163000,"South Windsor, NSW",NSW,Hatchback,7950
Jeep,2013,Grand,SUV,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,3.6,6,Rear,Premium,10.1,69001,"Artarmon, NSW",NSW,SUV,24990
Toyota,2007,RAV4,SUV,2007 Toyota RAV4 Cruiser L (4X4),USED,Automatic,2.4,4,4WD,Unleaded,9.6,106718,"Lansvale, NSW",NSW,SUV,14999
Holden,2016,Commodore,Sedan,2016 Holden Commodore Evoke,USED,Automatic,3,6,Rear,Unleaded,8.3,59689,"Blacktown, NSW",NSW,Sedan,22999
Mercedes-Benz,2010,CLC200,Coupe,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,1.8,4,Rear,Premium,9,177834,"Five Dock, NSW",NSW,Coupe,7999
Dodge,2012,Journey,Mr Car,2012 Dodge Journey JC SXT Wagon 4dr Auto 6sp 3.6i 7 St SUV,USED,Automatic,,,Other,Unleaded,,147589,"Rouse Hill, NSW",NSW,Wagon,10999
Mazda,2013,6,Sedan,2013 Mazda 6 Atenza,USED,Automatic,2.5,4,Front,Unleaded,6.6,105767,"Homebush, NSW",NSW,Sedan,19999
Volkswagen,2018,Caddy,Commercial,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,1.4,4,Front,Premium,6,87293,"Blacktown, NSW",NSW,Van,30999
Honda,2013,Civic,Sedan,2013 Honda Civic VTI-L,USED,Automatic,1.8,4,Front,Unleaded,6.7,154347,"Minchinbury, NSW",NSW,Sedan,15990
Jeep,2021,Compass,SUV,2021 Jeep Compass Launch Edition,USED,Automatic,2.4,4,Front,Unleaded,7.9,20827,"Ryde, NSW",NSW,SUV,32888
Toyota,2008,Hiace,Nippon Motors,2008 Toyota Hiace Commuter GL Grand Cabin,USED,Automatic,,,Other,Unleaded,,112980,"Ingleburn, NSW",NSW,Van,31900
Mazda,2014,CX-9,Exclusive Autohaus,2014 Mazda CX-9 Classic,USED,Automatic,,,Other,-,,97745,"Blacktown, NSW",NSW,Wagon,22999
Toyota,2010,Yaris,Hatchback,2010 Toyota Yaris YR,USED,Automatic,1.3,4,Front,Unleaded,6.5,147626,"Minchinbury, NSW",NSW,Hatchback,10995
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,3,6,4WD,Diesel,7.5,114424,"Castle Hill, NSW",NSW,SUV,29990
Mazda,2009,3,Hatchback,2009 Mazda 3 SP25,USED,Manual,2.5,4,Front,Unleaded,8.6,153020,"Liverpool, NSW",NSW,Hatchback,13950
Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XLT 3.2 (4X4),USED,Automatic,3.2,5,4WD,Diesel,9,98700,"Five Dock, NSW",NSW,UTE,36999
Holden,2011,Captiva,Automobile Gallery,2011 Holden Captiva CG 7 LX Wagon 7st 4dr Spts Auto 6sp 4x4 2.2DT,USED,Automatic,,,Other,Diesel,,183924,"Granville, NSW",NSW,Wagon,9990
Toyota,2013,86,Coupe,2013 Toyota 86 GTS,USED,Automatic,2,4,Rear,Premium,7.1,103706,"Croydon, NSW",NSW,Coupe,24990
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf 103 TSI Highline,USED,Automatic,1.4,4,Front,Premium,5.2,126532,"Cabramatta, NSW",NSW,Hatchback,13990
Mitsubishi,2013,Lancer,Hatchback,2013 Mitsubishi Lancer LX Sportback,USED,Automatic,2,4,Front,Unleaded,7.3,73421,"Brookvale, NSW",NSW,Hatchback,16990
Toyota,2009,Camry,Sedan,2009 Toyota Camry Ateva,USED,Automatic,2.4,4,Front,Unleaded,9.9,155135,"Minchinbury, NSW",NSW,Sedan,10995
Hyundai,2013,I20,Hatchback,2013 Hyundai I20 Active,USED,Automatic,1.4,4,Front,Unleaded,6.4,123330,"Brookvale, NSW",NSW,Hatchback,12990
Mitsubishi,2014,Lancer,Hatchback,2014 Mitsubishi Lancer GSR Sportback,USED,Automatic,2.4,4,Front,Unleaded,8.9,44249,"Arncliffe, NSW",NSW,Hatchback,18990
Mazda,2018,2,Hatchback,2018 Mazda 2 Maxx,USED,Automatic,1.5,4,Front,Unleaded,4.9,27100,"Darlinghurst, NSW",NSW,Hatchback,23999
Mazda,2009,3,Hatchback,2009 Mazda 3 Maxx Sport,USED,Automatic,2,4,Front,Unleaded,8.2,70661,"Minchinbury, NSW",NSW,Hatchback,14995
Mitsubishi,2014,Triton,Ute / Tray,2014 Mitsubishi Triton GLX (4X4),USED,Automatic,2.5,4,4WD,Diesel,9.3,215100,"Eastern Creek, NSW",NSW,UTE,18995
Volkswagen,2014,Golf,Hatchback,2014 Volkswagen Golf 90 TSI Comfortline,USED,Automatic,1.4,4,Front,Premium,5.4,155036,"Castle Hill, NSW",NSW,Hatchback,14990
BMW,2012,M135I,Hatchback,2012 BMW M135I,USED,Automatic,3,6,Rear,Premium,7.5,67678,"Rydalmere, NSW",NSW,Hatchback,29950
Holden,2015,Commodore,Wagon,2015 Holden Commodore SV6 Storm,USED,Automatic,3.6,6,Rear,Unleaded,9.8,133934,"Homebush, NSW",NSW,Wagon,22999
Volkswagen,2008,Golf,Hatchback,2008 Volkswagen Golf GTI,USED,Automatic,2,4,Front,Premium,8,174915,"Cabramatta, NSW",NSW,Hatchback,14990
Holden,2014,Cruze,Sedan,2014 Holden Cruze Equipe,USED,Automatic,1.8,4,Front,Unleaded,7.4,117000,"Windsor, NSW",NSW,Sedan,7888
Hyundai,2018,Imax,Wagon,2018 Hyundai Imax Active,USED,Automatic,2.5,4,Rear,Diesel,8.8,190176,"Cabramatta, NSW",NSW,Wagon,27990
Mitsubishi,2013,Triton,Ute / Tray,2013 Mitsubishi Triton GLX (4X4),USED,Manual,2.5,4,4WD,Diesel,9.1,231675,"Smithfield, NSW",NSW,UTE,19800
BMW,2021,330I,Sedan,2021 BMW 330I M Sport,USED,Automatic,2,4,Rear,Premium,6.4,23332,"Sylvania, NSW",NSW,Sedan,67988
Volkswagen,2018,Golf,Wagon,2018 Volkswagen Golf 110 TSI Comfortline,USED,Automatic,1.4,4,Front,Premium,5.6,130647,"Blacktown, NSW",NSW,Wagon,21880
Audi,2019,Q3,SUV,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,1.4,4,Front,Premium,7.2,47307,"Carlton, NSW",NSW,SUV,41888
Nissan,2005,Elgrand,Nippon Motors,2005 Nissan Elgrand Highway Star,USED,Automatic,,,Other,Unleaded,,69619,"Ingleburn, NSW",NSW,Van,17900
Toyota,2009,Estima,Nippon Motors,2009 Toyota Estima X (hybrid),USED,Automatic,,,Other,Unleaded,,128647,"Ingleburn, NSW",NSW,Van,18900
Subaru,2016,Outback,SUV,2016 Subaru Outback 2.5I Premium,USED,Automatic,2.5,4,AWD,Premium,7.3,74983,"North Narrabeen, NSW",NSW,SUV,29990
Mazda,2007,6,Hatchback,2007 Mazda 6 Classic Sports,USED,Manual,2.3,4,Front,Premium,8.8,102496,"Leichhardt, NSW",NSW,Hatchback,7920
Hyundai,2015,Accent,Hatchback,2015 Hyundai Accent Active,USED,Automatic,1.6,4,Front,Unleaded,6.4,84924,"Homebush, NSW",NSW,Hatchback,14999
Land Rover,2013,Discovery,SUV,2013 Land Rover Discovery 4 3.0 TDV6,USED,Automatic,3,6,4WD,Diesel,8.8,159558,"Glebe, NSW",NSW,SUV,38950
Mercedes-Benz,2014,B-Class,CBP Motors,2014 Mercedes-Benz B-Class B200 DCT,USED,Automatic,,,Front,Premium,,98296,"Five Dock, NSW",NSW,Hatchback,16999
Ford,2013,Focus,Hatchback,2013 Ford Focus Ambiente,USED,Automatic,1.6,4,Front,Unleaded,6.6,67590,"Leichhardt, NSW",NSW,Hatchback,12990
Kia,2017,Sportage,SUV,2017 Kia Sportage GT-Line (awd),USED,Automatic,2.4,4,AWD,Unleaded,8.5,65502,"Ryde, NSW",NSW,SUV,29990
Porsche,2010,Cayenne,SUV,2010 Porsche Cayenne S,USED,Automatic,4.8,8,AWD,Premium,10.5,193271,"Haberfield, NSW",NSW,SUV,29990
