Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,States,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2016.0,2016 Toyota Kluger GX (4X2),SUV,2016 Toyota Kluger GX (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.2 L / 100 km,137000,Black / Black,"Dandenong, VIC",VIC,6 cyl,SUV, 4 Doors, 7 Seats,32999
Mini,2015.0,2015 Mini Cooper S 5D Hatch,Hatchback,2015 Mini Cooper S 5D Hatch,USED,Manual,"4 cyl, 2 L",Front,Premium,6 L / 100 km,98710,Black / -,"Mayfield West, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,24490
Holden,2014.0,2014 Holden Commodore Evoke,Sedan,2014 Holden Commodore Evoke,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,8.3 L / 100 km,98689,White / -,"Echuca, VIC",VIC,6 cyl,Sedan, 4 Doors, 5 Seats,19990
Jeep,2015.0,2015 Jeep Compass Limited (4X4),SUV,2015 Jeep Compass Limited (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Premium,8.6 L / 100 km,79800,Black / Black,"New Lambton, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,14990
Toyota,2018.0,2018 Toyota C-HR Koba (2WD),SUV,2018 Toyota C-HR Koba (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.5 L / 100 km,49919,Red / Black,"Dandenong South, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,32950
Hyundai,2012.0,2012 Hyundai I20 Active,Hatchback,2012 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4 L / 100 km,143949,Red / Grey,"Ringwood, VIC",VIC,4 cyl,Hatchback, 5 Doors, 5 Seats,12490
Volkswagen,2023.0,2023 Volkswagen T-ROC 110TSI STYLE RESTRICTED FEAT,"02 **** ****
",2023 Volkswagen T-ROC 110TSI STYLE RESTRICTED FEAT,NEW,-,-,Other,-,-,5,- / -,"Bathurst, NSW",NSW,-,Wagon,,,47990
Subaru,2018.0,2018 Subaru XV 2.0I-S,SUV,2018 Subaru XV 2.0I-S,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7 L / 100 km,35170,Orange / -,"Fyshwick, ACT",ACT,4 cyl,SUV, 4 Doors, 5 Seats,32830
Isuzu,2022.0,2022 Isuzu MU-X LS-T (4X4),SUV,2022 Isuzu MU-X LS-T (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.3 L / 100 km,28910,White / -,"Seymour, VIC",VIC,4 cyl,SUV, 4 Doors, 7 Seats,69990
Nissan,2012.0,2012 Nissan Dualis ST (4X2),SUV,2012 Nissan Dualis ST (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,157645,Black / -,"Warners Bay, NSW",NSW,4 cyl,SUV, 4 Doors, 5 Seats,13990
